Partlist

Exported from F030_R01.sch at 31.10.2019 12:09

EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value              Device                         Package            Library      Sheet
R126     10k                R-EU_R0805                     R0805              rcl          16
R127     4k7                R-EU_R0805                     R0805              rcl          18
R128     4k7                R-EU_R0805                     R0805              rcl          18
R129     4k7                R-EU_R0805                     R0805              rcl          18
R130     4k7                R-EU_R0805                     R0805              rcl          18
R131     4k7                R-EU_R0805                     R0805              rcl          18
R132     4k7                R-EU_R0805                     R0805              rcl          18
R133     4k7                R-EU_R0805                     R0805              rcl          18
R134     4k7                R-EU_R0805                     R0805              rcl          18
R135     4k7                R-EU_R0805                     R0805              rcl          18
R136     4k7                R-EU_R0805                     R0805              rcl          18
R137     10k                R-EU_R0805                     R0805              rcl          19
R138     150                R-EU_R0805                     R0805              rcl          19
R139     150                R-EU_R0805                     R0805              rcl          19
R140     1k                 R-EU_R0805                     R0805              rcl          19
R141     150                R-EU_R0805                     R0805              rcl          19
R142     10k                R-EU_R0805                     R0805              rcl          19
R143     2k                 R-EU_R0805                     R0805              rcl          20
